iter,time,reward,steps,convergence
1,0.1169667710000013,-299.0,300.0,83.8935897024
2,0.24504428200000206,-299.0,300.0,64.54686087513427
3,0.3639756950000006,-299.0,300.0,64.90671565307396
4,0.48549995600000173,-304.76,300.0,67.83331691562178
5,0.6082505359999999,-242.92,255.43,60.878454959382175
6,0.7316703589999989,-13.43,68.57,60.7014193803643
7,0.8529063360000002,-1.48,57.26,58.70698194709867
8,0.9745413959999993,0.77,57.16,57.51784761080688
9,1.0961764559999985,-4.25,56.18,44.63914207720892
10,1.235034358,11.39,63.49,39.26277213758527
11,1.3562505000000016,9.21,64.15,8.458157207062348
12,1.4909113540000014,13.22,63.2,6.964750719841577
13,1.5982460829999994,14.85,62.14,5.410413100370958
14,1.7143230379999999,18.25,64.31,3.5440549666275754
15,1.7885974199999986,14.66,63.45,1.536893765175165
16,1.806294238000003,7.29,64.02,0.00029258457328573684
17,1.823170660000006,10.09,63.63,0.0001006207804259418
18,1.839798125000005,12.32,63.19,3.601798063357364e-05
19,1.8563869470000007,15.76,64.06,1.3362076973777448e-05
20,1.8738245480000018,17.24,63.64,5.113636195375193e-06
21,1.8904855260000026,7.06,64.16,2.009632170896225e-06
22,1.9070805040000067,14.43,64.04,8.077490267766052e-07
