iter,time,reward,steps,convergence
1,0.053006671,-306.67,300.0,83.8967521584
2,0.07623355299999979,-299.0,300.0,62.92258233067285
3,0.0985668559999997,-300.96,300.0,40.84734400396159
4,0.12089195199999958,-299.49,300.0,34.49456598429516
5,0.16549255699999943,-299.49,300.0,28.616987277225142
6,0.18777148700000001,-300.47,300.0,26.407638575092363
7,0.21063211400000004,-299.98,300.0,23.0355135362759
8,0.23318975200000036,-300.47,300.0,19.797965802347402
9,0.25619400900000056,-299.49,300.0,18.572411192311623
10,0.27864426700000067,-299.0,300.0,14.251210013940824
11,0.30096081300000144,-298.06,299.49,13.211788741506364
12,0.3232547890000017,-299.0,300.0,12.113437778868954
13,0.3457382190000011,-299.0,300.0,10.694214999931182
14,0.3680373240000012,-299.49,300.0,10.161831193844922
15,0.3903685750000019,-298.53,299.47,9.116661937440849
16,0.41237050500000194,-299.0,300.0,8.847169892757632
17,0.4347400570000026,-296.82,298.59,7.833173309722836
18,0.4570884070000023,-291.32,295.07,7.109570510281337
19,0.47963510200000314,-262.62,277.07,5.970213785194572
20,0.5015908660000044,-256.07,270.55,4.733049388620099
21,0.5241320890000019,-188.22,228.74,4.026751783869879
22,0.5463778470000022,-186.71,227.08,3.454845681236825
23,0.5687812550000011,11.14,63.68,3.0869329166451553
24,0.5910560810000014,8.22,63.92,2.9452206556619167
25,0.6133049170000007,13.02,64.27,2.768256729138086
26,0.6354337189999981,10.23,63.24,2.348787702091011
27,0.6578467010000004,13.51,63.05,1.9235590909643037
28,0.6799785810000003,9.59,62.96,1.8761668551001325
29,0.7023580500000008,9.64,64.8,1.6808840575334987
30,0.7249981040000009,11.36,62.96,1.419811430689757
31,0.747417243000001,11.31,64.69,1.1338133924068394
32,0.7695911860000031,13.01,63.37,0.867853461262218
33,0.7920486250000032,7.52,62.9,0.6427860977881501
34,0.8343258580000033,10.99,62.81,0.463811365325304
35,0.8564690240000026,19.15,61.91,0.3276741089279973
36,0.8784524880000042,11.96,63.58,0.22748957783303148
37,0.9007279980000042,15.56,63.22,0.15562929016348903
38,0.9231478210000041,7.78,64.36,0.10517043445211804
39,0.9452807270000037,12.58,62.99,0.07036917616410499
40,0.9673401090000056,15.99,63.72,0.046705829154934264
41,0.9898594460000041,11.56,64.61,0.0307813188187378
42,1.011425017000004,13.1,63.3,0.020142921187966678
43,1.0338092740000029,12.46,63.73,0.013077773476046772
44,1.0563689640000042,15.8,62.48,0.008414302838554377
45,1.078734071000003,6.87,64.31,0.005358871436071055
46,1.1005961340000034,4.72,63.56,0.0033752198937904154
47,1.122992018000005,13.3,63.29,0.0021011390755880655
48,1.1452138370000071,10.8,63.88,0.0012924975677677253
49,1.1674708800000104,14.46,63.65,0.0007856882391781284
50,1.1895890810000083,14.24,64.26,0.0004721010212698218
51,1.2117397700000083,13.57,63.08,0.0002805232927514112
52,1.2343767460000095,7.95,63.03,0.00016492261933898078
53,1.2597272870000076,13.41,63.44,9.598909125330124e-05
54,1.282126591000008,13.61,62.3,5.534258771966449e-05
55,1.3043928670000078,18.62,63.56,3.1627349164509155e-05
56,1.326912888000006,14.08,62.98,1.7926723971939396e-05
57,1.3493730630000051,11.67,63.41,1.0084154027367731e-05
58,1.3715770990000031,12.67,64.85,5.632996185056527e-06
59,1.3937931040000038,14.81,63.57,3.1264925102192365e-06
60,1.416219766000001,12.09,63.19,1.7252257649147396e-06
61,1.4384829650000022,14.03,64.59,9.470109763043411e-07
