iter,time,reward,steps,shape
114,0.015710291000000015,98.57,3.43,2
162,0.02343890500000001,95.87,6.13,3
287,0.04628961600000003,92.18,9.82,4
448,0.05546888400000005,90.0,12.0,5
571,0.12120109499999998,84.73,17.27,7
940,0.18497516299999983,76.73,25.27,10
1320,0.38004334900000014,63.01,38.99,15
2147,0.9101045830000007,49.7,52.3,20
2593,1.5738110069999998,36.2,65.8,25
3651,2.7123231730000015,21.49,80.51,30
4382,4.2269651370000005,8.19,93.81,35
5351,6.158672224,-4.94,106.94,40
16,0.19928062299999283,-3999.0,4000.0,50
