iter,time,reward,steps,shape
15,0.064532566,98.54,3.46,2
18,0.020787238000000013,95.85,6.15,3
22,0.04286200800000001,93.36,8.64,4
26,0.08030304399999999,90.19,11.81,5
30,0.20662485899999994,85.14,16.86,7
35,0.2759159940000002,77.84,24.16,10
43,0.6835241669999998,63.23,38.77,15
51,1.5646549929999995,50.62,51.38,20
65,2.7454939780000007,36.56,65.44,25
69,4.022201984999999,24.42,77.58,30
78,6.467995326999997,10.54,91.46,35
90,9.590038020999998,-2.21,104.21,40
107,17.86219537800001,-30.14,132.14,50
