Episode, Steps, Reward, Time (in milliseconds)
1, 441, -44.000000000000355, 2672
2, 441, -44.000000000000355, 3427
3, 441, -44.000000000000355, 5241
4, 441, -44.000000000000355, 7049
5, 441, -44.000000000000355, 7875
6, 441, -44.000000000000355, 9175
7, 441, -44.000000000000355, 11115
8, 441, -44.000000000000355, 11932
9, 441, -44.000000000000355, 12887
10, 68, -15.399999999999979, 14017
11, 109, -11.699999999999974, 14406
12, 92, -9.99999999999998, 14527
13, 105, -10.399999999999979, 14816
14, 115, -12.299999999999972, 15135
15, 104, -12.099999999999977, 15051
