Episode, Steps, Reward, Time (in milliseconds)
1, 441, -44.000000000000355, 196
2, 441, -44.000000000000355, 252
3, 441, -70.10000000000011, 160
4, 441, -93.30000000000015, 253
5, 441, -44.000000000000355, 166
6, 441, -44.000000000000355, 333
7, 441, -46.900000000000354, 299
8, 441, -104.89999999999976, 264
9, 441, -44.000000000000355, 240
10, 441, -48.50000000000035, 184
11, 441, -44.000000000000355, 188
12, 441, -44.90000000000037, 245
13, 441, -44.900000000000354, 215
14, 441, -44.90000000000037, 241
15, 441, -49.80000000000035, 296
16, 441, -77.99999999999976, 254
17, 441, -44.000000000000355, 279
18, 441, -49.40000000000035, 318
19, 441, -46.70000000000039, 295
20, 441, -69.19999999999997, 295
21, 441, -44.000000000000355, 279
22, 441, -47.60000000000042, 300
23, 441, -44.000000000000355, 327
24, 441, -48.50000000000036, 353
25, 441, -44.000000000000355, 390
26, 441, -46.900000000000354, 345
27, 441, -50.30000000000043, 284
28, 441, -49.80000000000035, 359
29, 441, -44.000000000000355, 353
30, 441, -46.900000000000354, 371
31, 441, -49.40000000000045, 405
32, 441, -44.000000000000355, 374
33, 441, -44.000000000000355, 409
34, 441, -44.000000000000355, 447
35, 441, -48.50000000000036, 440
36, 441, -44.90000000000037, 351
37, 441, -44.000000000000355, 411
38, 441, -49.80000000000035, 429
39, 441, -48.50000000000035, 420
40, 441, -50.7000000000004, 487
41, 441, -58.50000000000043, 503
42, 441, -44.000000000000355, 457
43, 441, -47.600000000000364, 416
44, 441, -46.900000000000354, 440
45, 441, -44.000000000000355, 536
46, 441, -45.80000000000035, 494
47, 441, -44.90000000000037, 494
48, 441, -58.50000000000035, 572
49, 441, -44.000000000000355, 470
50, 441, -44.900000000000354, 502
51, 441, -44.000000000000355, 496
52, 441, -49.80000000000035, 504
53, 441, -44.900000000000354, 535
54, 441, -55.70000000000042, 488
55, 441, -44.900000000000354, 540
56, 441, -46.900000000000354, 537
57, 441, -46.900000000000404, 526
58, 441, -46.90000000000037, 499
59, 441, -44.90000000000037, 555
60, 441, -44.000000000000355, 533
61, 441, -44.000000000000355, 605
62, 441, -70.10000000000026, 605
63, 441, -49.8000000000004, 602
64, 441, -44.000000000000355, 628
65, 441, -46.90000000000037, 519
66, 441, -46.900000000000354, 539
67, 441, -44.000000000000355, 562
68, 441, -46.70000000000035, 608
69, 441, -53.00000000000038, 584
70, 441, -71.59999999999984, 596
71, 441, -52.70000000000035, 596
72, 441, -46.900000000000404, 659
73, 441, -45.80000000000035, 628
74, 441, -45.80000000000038, 637
75, 441, -44.000000000000355, 591
76, 441, -46.70000000000039, 679
77, 441, -46.900000000000404, 637
78, 441, -46.900000000000354, 672
79, 441, -44.000000000000355, 636
80, 441, -44.000000000000355, 737
81, 441, -44.000000000000355, 646
82, 441, -44.000000000000355, 648
83, 441, -46.70000000000035, 620
84, 441, -44.000000000000355, 699
85, 441, -44.900000000000354, 712
86, 441, -44.000000000000355, 621
87, 441, -44.000000000000355, 650
88, 441, -54.80000000000034, 730
89, 441, -52.70000000000045, 700
90, 441, -44.900000000000354, 654
91, 441, -44.90000000000037, 692
92, 441, -44.000000000000355, 688
93, 441, -46.900000000000404, 656
94, 441, -64.30000000000044, 725
95, 441, -44.000000000000355, 811
96, 441, -46.900000000000354, 738
97, 441, -46.900000000000404, 678
98, 441, -51.20000000000035, 693
99, 441, -44.000000000000355, 721
100, 441, -44.90000000000037, 714
101, 441, -75.89999999999954, 679
102, 441, -44.000000000000355, 773
103, 441, -52.70000000000046, 768
104, 441, -49.80000000000042, 699
105, 441, -46.900000000000354, 708
106, 441, -44.000000000000355, 783
107, 441, -48.50000000000036, 750
108, 441, -49.4000000000004, 785
109, 441, -48.50000000000035, 733
110, 441, -51.200000000000344, 761
111, 441, -44.000000000000355, 740
112, 441, -46.900000000000404, 803
113, 441, -44.900000000000354, 725
114, 441, -44.000000000000355, 762
115, 441, -46.70000000000035, 795
116, 441, -62.300000000000495, 770
117, 441, -44.000000000000355, 819
118, 441, -44.000000000000355, 743
119, 441, -44.900000000000354, 790
120, 441, -44.000000000000355, 797
121, 441, -46.900000000000354, 788
122, 441, -45.80000000000039, 876
123, 441, -44.90000000000037, 819
124, 441, -50.300000000000345, 812
125, 441, -44.90000000000037, 818
126, 441, -48.70000000000035, 756
127, 441, -44.900000000000354, 810
128, 441, -44.000000000000355, 797
129, 441, -44.900000000000354, 785
130, 441, -46.70000000000039, 817
131, 441, -51.600000000000456, 829
132, 441, -45.80000000000039, 806
133, 441, -44.90000000000037, 825
134, 441, -45.80000000000035, 897
135, 441, -46.90000000000039, 888
136, 441, -44.90000000000037, 825
137, 441, -44.000000000000355, 847
138, 441, -98.20000000000006, 843
139, 441, -44.000000000000355, 838
140, 441, -44.900000000000354, 873
141, 441, -44.000000000000355, 848
142, 441, -52.70000000000035, 858
143, 441, -46.9000000000004, 873
144, 441, -44.000000000000355, 844
145, 441, -44.000000000000355, 849
146, 441, -46.700000000000365, 872
147, 441, -44.000000000000355, 924
148, 441, -46.900000000000354, 866
149, 441, -45.80000000000035, 880
150, 441, -52.10000000000034, 846
151, 441, -52.70000000000043, 854
152, 441, -48.7000000000004, 880
153, 441, -46.900000000000354, 859
154, 441, -49.80000000000035, 894
155, 441, -44.000000000000355, 899
156, 441, -44.000000000000355, 923
157, 441, -44.000000000000355, 921
158, 441, -44.90000000000037, 934
159, 441, -44.000000000000355, 939
160, 441, -51.200000000000344, 877
161, 441, -47.60000000000041, 899
162, 441, -44.000000000000355, 933
163, 441, -44.000000000000355, 906
164, 441, -44.90000000000037, 898
165, 441, -47.600000000000364, 959
166, 441, -46.900000000000354, 916
167, 441, -44.000000000000355, 914
168, 441, -47.60000000000038, 894
169, 441, -44.000000000000355, 914
170, 441, -72.99999999999991, 931
171, 441, -49.80000000000035, 921
172, 441, -48.50000000000043, 960
