Episode, Steps, Reward, Time (in milliseconds)
1, 441, -44.000000000000355, 217
2, 441, -44.000000000000355, 129
3, 441, -44.000000000000355, 165
4, 441, -44.000000000000355, 163
5, 441, -44.000000000000355, 203
6, 441, -44.000000000000355, 242
7, 441, -44.000000000000355, 262
8, 441, -44.000000000000355, 285
9, 441, -44.000000000000355, 241
10, 441, -44.000000000000355, 208
11, 441, -44.000000000000355, 166
12, 441, -44.000000000000355, 189
13, 441, -44.000000000000355, 194
14, 441, -44.000000000000355, 211
15, 441, -44.000000000000355, 214
16, 441, -44.000000000000355, 224
17, 441, -44.000000000000355, 232
18, 441, -44.000000000000355, 242
19, 441, -44.000000000000355, 257
20, 441, -44.000000000000355, 268
21, 441, -44.000000000000355, 281
22, 441, -44.000000000000355, 293
23, 441, -44.000000000000355, 316
24, 441, -44.000000000000355, 316
25, 441, -44.000000000000355, 329
26, 441, -44.000000000000355, 338
27, 441, -44.000000000000355, 348
28, 441, -44.000000000000355, 362
29, 441, -44.000000000000355, 372
30, 441, -44.000000000000355, 386
31, 441, -44.000000000000355, 403
32, 441, -44.000000000000355, 430
33, 441, -44.000000000000355, 433
34, 441, -44.000000000000355, 429
35, 441, -44.000000000000355, 447
36, 441, -44.000000000000355, 453
37, 441, -44.000000000000355, 491
38, 441, -44.000000000000355, 478
39, 441, -44.000000000000355, 490
40, 441, -44.000000000000355, 505
41, 441, -44.000000000000355, 515
42, 441, -44.000000000000355, 526
43, 441, -44.000000000000355, 535
44, 441, -44.000000000000355, 549
45, 441, -44.000000000000355, 566
46, 441, -44.000000000000355, 570
47, 441, -44.000000000000355, 587
48, 441, -44.000000000000355, 594
49, 441, -44.000000000000355, 608
50, 441, -44.000000000000355, 619
51, 441, -44.000000000000355, 662
52, 441, -44.000000000000355, 646
53, 441, -44.000000000000355, 653
54, 441, -44.000000000000355, 669
55, 441, -44.000000000000355, 692
56, 441, -44.000000000000355, 691
57, 441, -44.000000000000355, 703
58, 441, -44.000000000000355, 710
59, 441, -44.000000000000355, 725
60, 441, -44.000000000000355, 740
61, 441, -44.000000000000355, 750
62, 441, -44.000000000000355, 756
63, 441, -44.000000000000355, 776
64, 441, -44.000000000000355, 782
65, 441, -44.000000000000355, 806
66, 441, -44.000000000000355, 827
67, 441, -44.000000000000355, 819
68, 441, -44.000000000000355, 831
69, 441, -44.000000000000355, 848
70, 441, -44.000000000000355, 852
71, 441, -44.000000000000355, 864
72, 441, -44.000000000000355, 878
73, 441, -44.000000000000355, 889
74, 441, -44.000000000000355, 903
75, 441, -44.000000000000355, 917
76, 441, -44.000000000000355, 922
77, 441, -44.000000000000355, 979
78, 441, -44.000000000000355, 975
79, 441, -44.000000000000355, 982
80, 441, -44.000000000000355, 1001
81, 441, -44.000000000000355, 992
82, 441, -44.000000000000355, 1014
83, 441, -44.000000000000355, 1033
84, 441, -44.000000000000355, 1037
85, 441, -44.000000000000355, 1032
86, 441, -44.000000000000355, 1061
87, 441, -44.000000000000355, 1093
88, 441, -44.000000000000355, 1088
89, 441, -44.000000000000355, 1095
90, 441, -44.000000000000355, 1094
91, 441, -44.000000000000355, 1117
92, 255, -26.30000000000009, 1108
93, 441, -44.000000000000355, 1137
94, 441, -44.000000000000355, 1157
95, 441, -44.000000000000355, 1164
96, 441, -44.000000000000355, 1185
97, 441, -44.000000000000355, 1180
98, 148, -14.699999999999964, 1167
99, 102, -10.99999999999998, 1175
100, 104, -12.09999999999998, 1188
