Episode, Steps, Reward, Time (in milliseconds)
1, 441, -44.000000000000355, 204
2, 441, -44.900000000000354, 127
3, 441, -44.900000000000354, 171
4, 441, -44.000000000000355, 217
5, 441, -44.900000000000354, 207
6, 441, -44.90000000000037, 222
7, 441, -44.000000000000355, 253
8, 441, -44.000000000000355, 251
9, 441, -44.000000000000355, 246
10, 441, -44.000000000000355, 204
11, 441, -44.90000000000036, 171
12, 441, -44.000000000000355, 182
13, 441, -44.000000000000355, 194
14, 441, -44.000000000000355, 208
15, 441, -44.000000000000355, 220
16, 441, -44.000000000000355, 229
17, 441, -44.000000000000355, 241
18, 441, -44.900000000000354, 277
19, 441, -44.000000000000355, 288
20, 441, -44.000000000000355, 278
21, 441, -44.000000000000355, 300
22, 441, -44.000000000000355, 338
23, 441, -44.000000000000355, 315
24, 441, -44.000000000000355, 380
25, 441, -44.000000000000355, 353
26, 441, -44.000000000000355, 353
27, 441, -44.000000000000355, 364
28, 441, -44.000000000000355, 380
29, 441, -44.000000000000355, 441
30, 441, -44.000000000000355, 403
31, 441, -44.000000000000355, 423
32, 441, -44.000000000000355, 431
33, 441, -44.000000000000355, 447
34, 441, -44.000000000000355, 464
35, 441, -44.000000000000355, 469
36, 441, -44.000000000000355, 475
37, 441, -44.000000000000355, 490
38, 441, -44.000000000000355, 503
39, 441, -44.000000000000355, 513
40, 441, -44.000000000000355, 524
41, 441, -44.000000000000355, 541
42, 441, -44.000000000000355, 550
43, 441, -44.000000000000355, 565
44, 441, -44.000000000000355, 582
45, 441, -44.000000000000355, 588
46, 441, -44.000000000000355, 632
47, 441, -44.000000000000355, 610
48, 441, -44.000000000000355, 626
49, 441, -44.000000000000355, 640
50, 441, -44.000000000000355, 647
51, 441, -44.000000000000355, 667
52, 441, -44.000000000000355, 695
53, 441, -44.000000000000355, 692
54, 441, -44.000000000000355, 904
55, 441, -44.000000000000355, 716
56, 441, -44.000000000000355, 730
57, 441, -44.000000000000355, 739
58, 441, -44.000000000000355, 748
59, 441, -44.000000000000355, 763
60, 441, -44.000000000000355, 784
61, 441, -44.000000000000355, 796
62, 441, -44.000000000000355, 845
63, 441, -44.000000000000355, 817
64, 441, -44.000000000000355, 821
65, 441, -44.000000000000355, 834
66, 441, -44.000000000000355, 864
67, 441, -44.000000000000355, 866
68, 441, -44.000000000000355, 877
69, 441, -44.000000000000355, 890
70, 441, -44.000000000000355, 954
71, 441, -44.000000000000355, 1024
72, 337, -37.400000000000205, 948
73, 441, -44.000000000000355, 939
74, 441, -44.000000000000355, 960
75, 441, -44.000000000000355, 960
76, 441, -44.000000000000355, 975
77, 441, -44.000000000000355, 1005
78, 441, -44.000000000000355, 1000
79, 441, -44.000000000000355, 1010
80, 441, -44.000000000000355, 1032
81, 441, -44.000000000000355, 1073
82, 441, -44.000000000000355, 1141
83, 441, -44.000000000000355, 1116
84, 441, -44.000000000000355, 1095
85, 441, -44.000000000000355, 1079
86, 441, -44.000000000000355, 1104
87, 441, -44.000000000000355, 1109
88, 441, -44.000000000000355, 1478
89, 441, -44.000000000000355, 1139
90, 441, -44.000000000000355, 1203
91, 441, -44.000000000000355, 1459
92, 441, -44.000000000000355, 1583
93, 441, -44.000000000000355, 1193
94, 441, -44.000000000000355, 1194
95, 441, -44.000000000000355, 1215
96, 441, -44.000000000000355, 1235
97, 441, -44.000000000000355, 1250
98, 441, -44.000000000000355, 1255
99, 441, -44.000000000000355, 1304
100, 441, -44.000000000000355, 1268

Average Reward: -43.98800000000039
Average Number of Steps: 439
Minimum Number of Steps: 337
Average Time (in milliseconds): 690
