Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -6.299999999999994, 85
2, 64, -6.299999999999994, 14
3, 64, -6.299999999999994, 43
4, 64, -6.299999999999994, 32
5, 64, -6.299999999999994, 40
6, 64, -6.299999999999994, 56
7, 64, -6.299999999999994, 33
8, 64, -6.299999999999994, 31
9, 64, -6.299999999999994, 46
10, 64, -7.19999999999999, 48
11, 64, -6.299999999999994, 31
12, 64, -6.299999999999994, 28
13, 64, -6.299999999999994, 46
14, 64, -6.299999999999994, 38
15, 64, -6.299999999999994, 36
16, 64, -12.899999999999986, 40
17, 64, -6.299999999999994, 42
18, 64, -7.199999999999994, 40
19, 64, -6.299999999999994, 62
20, 64, -20.4, 43
21, 64, -6.299999999999994, 43
22, 64, -6.299999999999994, 56
23, 64, -6.299999999999994, 49
24, 64, -6.299999999999994, 45
25, 64, -6.299999999999994, 47
26, 28, -5.5, 37
27, 64, -6.299999999999994, 40
28, 29, -4.6, 48
29, 64, -6.299999999999994, 35
30, 64, -6.299999999999994, 32
31, 64, -12.699999999999996, 46
32, 64, -6.299999999999994, 34
33, 64, -6.299999999999994, 36
34, 64, -6.299999999999994, 36
35, 38, -7.4999999999999964, 36
36, 64, -6.299999999999994, 33
37, 64, -6.299999999999994, 37
38, 64, -29.200000000000028, 32
39, 64, -6.299999999999994, 29
40, 48, -8.399999999999999, 37
41, 64, -6.299999999999994, 40
42, 64, -6.299999999999994, 36
43, 64, -6.299999999999994, 34
44, 64, -6.299999999999994, 47
45, 43, -8.699999999999996, 34
46, 31, -9.699999999999998, 29
47, 64, -6.299999999999994, 46
48, 64, -10.799999999999988, 35
49, 64, -6.299999999999994, 32
50, 64, -6.299999999999994, 41
51, 64, -6.299999999999994, 39
52, 64, -6.299999999999994, 40
53, 64, -6.299999999999994, 55
54, 64, -6.299999999999994, 32
55, 64, -6.299999999999994, 47
56, 64, -7.199999999999994, 47
57, 63, -7.999999999999995, 32
58, 48, -9.299999999999995, 46
59, 21, -4.699999999999999, 41
60, 24, -4.1000000000000005, 39
61, 64, -6.299999999999994, 42
62, 30, -7.499999999999998, 39
63, 64, -6.299999999999994, 37
64, 64, -6.299999999999994, 36
65, 28, -6.299999999999996, 37
66, 64, -6.299999999999994, 48
67, 28, -4.5, 43
68, 24, -5.1, 43
69, 64, -8.199999999999987, 42
70, 64, -6.299999999999994, 64
71, 37, -7.3, 47
72, 23, -5.799999999999997, 44
73, 64, -10.899999999999988, 48
74, 24, -5.0, 50
75, 30, -7.499999999999996, 46
76, 64, -6.299999999999994, 51
77, 36, -6.3, 37
78, 64, -9.099999999999994, 52
79, 31, -7.699999999999995, 43
80, 23, -6.899999999999997, 50
81, 40, -8.399999999999995, 50
82, 64, -6.299999999999994, 47
83, 64, -46.1, 45
84, 18, -3.5000000000000004, 57
85, 64, -6.299999999999994, 50
86, 64, -6.299999999999994, 50
87, 27, -4.3999999999999995, 52
88, 37, -9.099999999999998, 47
