Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -22.600000000000044, 85
2, 64, -6.299999999999994, 62
3, 64, -6.299999999999994, 40
4, 64, -6.299999999999994, 57
5, 64, -6.299999999999994, 41
6, 64, -7.1999999999999895, 40
7, 64, -13.699999999999992, 47
8, 64, -6.299999999999994, 77
9, 64, -6.299999999999994, 74
10, 64, -21.90000000000002, 73
11, 64, -6.299999999999994, 33
12, 64, -7.199999999999994, 44
13, 64, -6.299999999999994, 65
14, 64, -6.299999999999994, 42
15, 64, -6.299999999999994, 54
16, 64, -6.299999999999994, 64
17, 64, -17.399999999999995, 63
18, 64, -6.299999999999994, 51
19, 64, -9.199999999999989, 63
20, 64, -6.299999999999994, 58
21, 64, -9.199999999999994, 42
22, 64, -6.299999999999994, 55
23, 64, -6.299999999999994, 56
24, 64, -6.299999999999994, 48
25, 64, -6.299999999999994, 58
26, 64, -6.299999999999994, 47
27, 64, -6.299999999999994, 56
28, 64, -10.099999999999993, 54
29, 64, -7.199999999999994, 49
30, 64, -6.299999999999994, 67
31, 64, -6.299999999999994, 59
32, 64, -8.999999999999995, 68
33, 64, -6.299999999999994, 64
34, 64, -7.199999999999994, 70
35, 64, -6.299999999999994, 60
36, 64, -6.299999999999994, 64
37, 64, -6.299999999999994, 56
38, 64, -6.299999999999994, 65
39, 64, -7.199999999999994, 61
40, 64, -6.299999999999994, 62
41, 64, -6.299999999999994, 75
42, 64, -6.299999999999994, 58
43, 64, -6.299999999999994, 68
44, 64, -8.99999999999999, 65
45, 64, -20.400000000000038, 67
46, 64, -6.299999999999994, 66
47, 64, -6.299999999999994, 66
48, 64, -6.299999999999994, 70
49, 64, -6.299999999999994, 70
50, 64, -6.299999999999994, 64
51, 64, -18.1, 79
52, 64, -7.199999999999994, 76
53, 64, -7.199999999999994, 69
54, 64, -6.299999999999994, 79
55, 64, -6.299999999999994, 72
56, 64, -15.699999999999989, 78
57, 64, -6.299999999999994, 79
58, 64, -6.299999999999994, 72
59, 64, -6.299999999999994, 72
60, 64, -7.199999999999994, 89
61, 64, -6.299999999999994, 84
62, 64, -7.1999999999999895, 82
63, 64, -6.299999999999994, 89
64, 64, -6.299999999999994, 87
65, 64, -7.199999999999994, 86
66, 64, -6.299999999999994, 94
67, 64, -6.299999999999994, 82
68, 64, -13.899999999999988, 81
69, 64, -6.299999999999994, 88
70, 64, -6.299999999999994, 80
71, 64, -6.299999999999994, 88
72, 64, -8.099999999999993, 88
73, 64, -8.199999999999994, 83
74, 64, -6.299999999999994, 89
75, 64, -6.299999999999994, 95
76, 64, -6.299999999999994, 86
77, 64, -7.1999999999999895, 95
78, 64, -6.299999999999994, 87
79, 64, -7.1999999999999895, 91
80, 64, -6.299999999999994, 114
81, 64, -8.199999999999989, 97
82, 64, -6.299999999999994, 97
83, 64, -6.299999999999994, 98
84, 64, -11.999999999999993, 93
85, 64, -6.299999999999994, 100
86, 64, -8.199999999999985, 99
87, 64, -6.299999999999994, 95
88, 64, -6.299999999999994, 94
89, 64, -18.2, 95
90, 64, -6.299999999999994, 102
91, 64, -6.299999999999994, 101
92, 64, -8.199999999999994, 91
93, 64, -11.899999999999991, 109
94, 64, -7.19999999999999, 106
95, 64, -8.199999999999994, 97
96, 64, -6.299999999999994, 103
97, 64, -6.299999999999994, 111
98, 64, -10.099999999999994, 106
99, 64, -6.299999999999994, 105
100, 64, -13.499999999999995, 114
101, 50, -9.499999999999991, 106
102, 64, -6.299999999999994, 111
103, 64, -6.299999999999994, 116
104, 64, -8.999999999999993, 107
105, 64, -6.299999999999994, 107
106, 64, -6.299999999999994, 118
107, 64, -6.299999999999994, 107
108, 64, -6.299999999999994, 116
109, 64, -6.299999999999994, 103
110, 64, -8.99999999999999, 112
111, 64, -6.299999999999994, 112
112, 64, -18.000000000000018, 117
113, 64, -6.299999999999994, 115
114, 64, -6.299999999999994, 107
115, 64, -6.299999999999994, 106
116, 64, -9.999999999999986, 116
117, 64, -6.299999999999994, 117
118, 64, -6.299999999999994, 116
119, 31, -4.8, 113
120, 49, -6.599999999999995, 120
121, 35, -5.199999999999999, 118
122, 64, -10.099999999999989, 111
123, 64, -6.299999999999994, 117
124, 64, -6.299999999999994, 117
125, 64, -6.299999999999994, 112
126, 64, -6.299999999999994, 119
127, 64, -8.099999999999994, 121
128, 64, -8.099999999999994, 121
129, 64, -6.299999999999994, 113
130, 64, -6.299999999999994, 120
131, 64, -6.299999999999994, 117
132, 64, -6.299999999999994, 120
133, 64, -6.299999999999994, 117
134, 64, -6.299999999999994, 118
135, 64, -6.299999999999994, 121
136, 64, -6.299999999999994, 114
137, 64, -6.299999999999994, 113
138, 64, -8.199999999999994, 117
139, 64, -9.199999999999994, 115
140, 64, -6.299999999999994, 124
141, 64, -6.299999999999994, 130
142, 64, -6.299999999999994, 118
143, 64, -8.999999999999995, 119
144, 64, -8.199999999999987, 118
145, 64, -6.299999999999994, 121
146, 43, -5.999999999999998, 118
147, 64, -6.299999999999994, 124
148, 64, -15.299999999999992, 125
149, 64, -6.299999999999994, 127
150, 64, -6.299999999999994, 128
151, 64, -6.299999999999994, 121
152, 64, -12.799999999999986, 134
153, 64, -6.299999999999994, 125
154, 64, -6.299999999999994, 125
155, 37, -6.299999999999996, 128
156, 64, -6.299999999999994, 130
157, 64, -12.899999999999991, 139
158, 64, -6.299999999999994, 136
159, 64, -7.199999999999994, 127
160, 64, -13.89999999999999, 131
161, 64, -6.299999999999994, 134
162, 64, -6.299999999999994, 128
163, 64, -44.300000000000004, 139
164, 64, -6.299999999999994, 127
165, 64, -6.299999999999994, 132
166, 64, -6.299999999999994, 130
167, 64, -6.299999999999994, 128
168, 64, -14.799999999999995, 127
169, 64, -6.299999999999994, 121
170, 64, -6.299999999999994, 130
171, 26, -4.3, 129
172, 64, -6.299999999999994, 128
173, 64, -6.299999999999994, 134
174, 64, -6.299999999999994, 141
175, 64, -6.299999999999994, 130
176, 44, -7.999999999999998, 130
177, 64, -6.299999999999994, 138
178, 64, -7.199999999999994, 131
179, 64, -6.299999999999994, 137
180, 64, -48.10000000000005, 128
181, 64, -8.199999999999994, 130
182, 64, -12.899999999999991, 129
183, 64, -6.299999999999994, 141
184, 64, -8.199999999999994, 134
185, 64, -6.299999999999994, 128
186, 64, -8.199999999999994, 132
187, 50, -12.199999999999996, 137
188, 35, -6.1, 149
189, 64, -6.299999999999994, 130
190, 64, -6.299999999999994, 128
191, 33, -5.899999999999997, 141
192, 64, -6.299999999999994, 125
193, 64, -6.299999999999994, 138
194, 64, -6.299999999999994, 138
195, 64, -6.299999999999994, 134
196, 64, -7.199999999999994, 138
197, 49, -7.499999999999996, 146
198, 64, -6.299999999999994, 142
199, 64, -6.299999999999994, 137
200, 53, -8.799999999999994, 140
201, 64, -10.099999999999993, 139
202, 64, -6.299999999999994, 155
203, 36, -8.1, 141
204, 64, -6.299999999999994, 142
205, 64, -7.1999999999999895, 134
206, 40, -5.699999999999998, 144
207, 64, -6.299999999999994, 139
208, 64, -6.299999999999994, 136
209, 64, -6.299999999999994, 138
210, 64, -20.800000000000036, 152
211, 28, -6.299999999999998, 145
212, 64, -9.899999999999995, 140
213, 64, -7.199999999999994, 142
214, 64, -6.299999999999994, 137
215, 31, -4.799999999999999, 136
216, 64, -6.299999999999994, 138
217, 64, -6.299999999999994, 137
218, 54, -11.89999999999999, 139
219, 36, -10.199999999999992, 150
220, 64, -6.299999999999994, 150
221, 64, -18.000000000000007, 145
222, 64, -6.299999999999994, 147
223, 64, -7.199999999999994, 141
224, 64, -27.200000000000056, 144
225, 64, -6.299999999999994, 140
226, 53, -6.9999999999999964, 146
227, 64, -6.299999999999994, 141
228, 64, -6.299999999999994, 149
229, 64, -8.099999999999994, 151
230, 64, -7.1999999999999895, 146
231, 27, -4.4, 148
232, 64, -6.299999999999994, 139
233, 40, -6.599999999999998, 137
234, 62, -8.799999999999995, 151
235, 46, -7.199999999999997, 149
236, 64, -7.19999999999999, 146
237, 64, -8.099999999999994, 145
238, 64, -6.299999999999994, 145
239, 55, -7.1999999999999975, 147
240, 64, -7.199999999999994, 148
241, 64, -8.09999999999999, 142
242, 26, -6.299999999999997, 146
243, 64, -6.299999999999994, 140
244, 59, -7.599999999999996, 148
245, 27, -7.199999999999999, 143
246, 64, -6.299999999999994, 148
247, 64, -6.299999999999994, 154
