Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -6.299999999999994, 81
2, 64, -6.299999999999994, 71
3, 64, -6.299999999999994, 27
4, 64, -6.299999999999994, 53
5, 64, -9.899999999999995, 40
6, 64, -6.299999999999994, 69
7, 64, -11.999999999999995, 36
8, 64, -16.699999999999996, 87
9, 64, -6.299999999999994, 58
10, 64, -6.299999999999994, 72
11, 64, -8.099999999999994, 65
12, 64, -6.299999999999994, 65
13, 64, -6.299999999999994, 32
14, 64, -6.299999999999994, 45
15, 64, -6.299999999999994, 55
16, 64, -13.499999999999986, 76
17, 64, -6.299999999999994, 64
18, 64, -6.299999999999994, 73
19, 64, -32.800000000000054, 80
20, 64, -8.199999999999994, 53
21, 64, -8.199999999999994, 57
22, 64, -6.299999999999994, 65
23, 64, -6.299999999999994, 68
24, 64, -9.999999999999995, 73
25, 64, -6.299999999999994, 47
26, 64, -8.199999999999994, 50
27, 64, -6.299999999999994, 46
28, 64, -6.299999999999994, 59
29, 64, -6.299999999999994, 42
30, 64, -11.699999999999983, 54
31, 64, -7.199999999999994, 49
32, 64, -6.299999999999994, 49
33, 64, -6.299999999999994, 54
34, 64, -6.299999999999994, 57
35, 64, -8.199999999999987, 50
36, 64, -6.299999999999994, 54
37, 64, -47.099999999999994, 71
38, 64, -6.299999999999994, 61
39, 64, -8.999999999999995, 68
40, 64, -6.299999999999994, 61
41, 64, -6.299999999999994, 62
42, 64, -6.299999999999994, 63
43, 64, -10.799999999999992, 59
44, 64, -6.299999999999994, 59
45, 64, -6.299999999999994, 66
46, 64, -13.699999999999989, 64
47, 64, -6.299999999999994, 68
48, 64, -6.299999999999994, 78
49, 64, -6.299999999999994, 72
50, 64, -6.299999999999994, 67
51, 64, -6.299999999999994, 70
52, 64, -6.299999999999994, 73
53, 64, -11.999999999999988, 68
54, 64, -6.299999999999994, 67
55, 64, -6.299999999999994, 89
56, 49, -9.399999999999991, 66
57, 64, -6.299999999999994, 74
58, 64, -7.199999999999992, 77
59, 64, -6.299999999999994, 69
60, 64, -6.299999999999994, 80
61, 64, -6.299999999999994, 86
62, 64, -6.299999999999994, 75
63, 64, -9.899999999999991, 74
64, 64, -7.199999999999994, 70
65, 64, -6.299999999999994, 86
66, 64, -6.299999999999994, 84
67, 64, -6.299999999999994, 80
68, 64, -6.299999999999994, 85
69, 64, -7.199999999999994, 77
70, 64, -7.199999999999994, 86
71, 64, -6.299999999999994, 80
72, 64, -6.299999999999994, 92
73, 64, -6.299999999999994, 98
74, 64, -6.299999999999994, 74
75, 64, -6.299999999999994, 85
76, 64, -6.299999999999994, 88
77, 64, -15.799999999999986, 79
78, 64, -15.899999999999984, 82
79, 64, -6.299999999999994, 85
80, 64, -6.299999999999994, 80
81, 64, -6.299999999999994, 86
82, 64, -6.299999999999994, 95
83, 64, -13.89999999999999, 95
84, 64, -6.299999999999994, 89
85, 64, -6.299999999999994, 84
86, 64, -6.299999999999994, 97
87, 64, -6.299999999999994, 86
88, 64, -6.299999999999994, 92
89, 64, -6.299999999999994, 99
90, 64, -6.299999999999994, 100
91, 37, -6.299999999999996, 92
92, 64, -6.299999999999994, 97
93, 64, -6.299999999999994, 86
94, 64, -6.299999999999994, 92
95, 64, -11.89999999999999, 95
96, 64, -6.299999999999994, 100
97, 64, -6.299999999999994, 97
98, 64, -6.299999999999994, 90
99, 64, -6.299999999999994, 97
100, 64, -8.19999999999999, 97
101, 64, -6.299999999999994, 99
102, 64, -6.299999999999994, 98
103, 64, -6.299999999999994, 106
104, 64, -6.299999999999994, 97
105, 64, -6.299999999999994, 100
106, 64, -6.299999999999994, 88
107, 64, -6.299999999999994, 96
108, 64, -6.299999999999994, 95
109, 64, -6.299999999999994, 99
110, 64, -6.299999999999994, 99
111, 35, -6.1, 96
112, 64, -8.099999999999985, 108
113, 64, -6.299999999999994, 114
114, 64, -6.299999999999994, 104
115, 64, -6.299999999999994, 102
116, 64, -6.299999999999994, 110
117, 64, -6.299999999999994, 100
118, 64, -6.299999999999994, 112
119, 64, -6.299999999999994, 104
120, 64, -7.199999999999994, 99
121, 64, -6.299999999999994, 105
122, 55, -7.1999999999999975, 100
123, 64, -6.299999999999994, 107
124, 64, -8.199999999999987, 102
125, 64, -6.299999999999994, 111
126, 64, -11.999999999999995, 104
127, 64, -18.000000000000025, 120
128, 64, -6.299999999999994, 121
129, 64, -8.999999999999995, 104
130, 64, -19.800000000000004, 113
131, 64, -6.299999999999994, 121
132, 64, -6.299999999999994, 104
133, 64, -6.299999999999994, 113
134, 64, -6.299999999999994, 107
135, 64, -6.299999999999994, 112
136, 64, -6.299999999999994, 110
137, 64, -6.299999999999994, 114
138, 64, -6.299999999999994, 109
139, 64, -6.299999999999994, 113
140, 64, -6.299999999999994, 115
141, 64, -6.299999999999994, 123
142, 64, -7.199999999999994, 120
143, 64, -7.199999999999994, 114
144, 64, -6.299999999999994, 105
145, 64, -6.299999999999994, 117
146, 50, -8.499999999999996, 122
147, 64, -6.299999999999994, 122
148, 64, -6.299999999999994, 121
149, 64, -6.299999999999994, 118
150, 64, -6.299999999999994, 118
151, 64, -6.299999999999994, 112
152, 64, -6.299999999999994, 119
153, 64, -6.299999999999994, 120
154, 42, -7.899999999999999, 108
155, 64, -6.299999999999994, 115
156, 64, -6.299999999999994, 109
157, 64, -6.299999999999994, 124
158, 64, -6.299999999999994, 123
159, 64, -6.299999999999994, 125
160, 64, -9.099999999999994, 120
161, 25, -8.0, 119
162, 24, -4.1, 111
163, 64, -8.199999999999994, 125
164, 64, -6.299999999999994, 123
165, 64, -6.299999999999994, 122
166, 64, -11.999999999999986, 120
167, 64, -8.099999999999994, 123
168, 64, -6.299999999999994, 125
169, 64, -6.299999999999994, 119
170, 64, -6.299999999999994, 127
171, 64, -6.299999999999994, 126
172, 64, -6.299999999999994, 123
173, 64, -6.299999999999994, 126
174, 64, -9.999999999999991, 125
175, 32, -4.9, 135
176, 64, -6.299999999999994, 126
177, 64, -6.299999999999994, 123
178, 64, -6.299999999999994, 120
179, 64, -11.999999999999986, 125
180, 64, -6.299999999999994, 134
181, 64, -6.299999999999994, 127
182, 64, -11.999999999999993, 123
183, 54, -7.099999999999998, 117
184, 64, -6.299999999999994, 120
185, 64, -8.999999999999991, 135
186, 64, -11.099999999999985, 123
187, 64, -6.299999999999994, 122
188, 64, -7.199999999999994, 126
189, 64, -6.299999999999994, 127
190, 64, -6.299999999999994, 132
191, 64, -8.199999999999994, 129
192, 64, -7.199999999999991, 126
193, 29, -4.6, 136
194, 31, -8.499999999999995, 137
195, 64, -6.299999999999994, 132
196, 64, -6.299999999999994, 135
197, 64, -6.299999999999994, 135
198, 64, -9.199999999999994, 122
199, 47, -6.399999999999997, 122
200, 64, -6.299999999999994, 121
201, 64, -7.199999999999994, 136
202, 64, -15.799999999999995, 168
203, 50, -8.499999999999995, 127
204, 64, -8.199999999999987, 146
205, 64, -9.099999999999994, 127
206, 64, -6.299999999999994, 134
207, 64, -9.999999999999986, 127
208, 28, -4.499999999999998, 125
209, 30, -6.499999999999997, 137
210, 59, -10.399999999999993, 132
211, 49, -13.099999999999993, 131
212, 64, -6.299999999999994, 162
213, 64, -7.199999999999994, 143
214, 64, -6.299999999999994, 151
215, 42, -6.799999999999998, 131
216, 64, -6.299999999999994, 140
217, 64, -6.299999999999994, 138
218, 64, -10.099999999999994, 136
219, 46, -9.999999999999996, 134
220, 38, -5.499999999999999, 141
221, 64, -6.299999999999994, 131
222, 28, -4.499999999999999, 142
223, 64, -6.299999999999994, 138
224, 64, -6.299999999999994, 132
225, 64, -7.199999999999994, 129
226, 64, -7.199999999999994, 136
227, 64, -6.299999999999994, 135
228, 33, -5.0, 131
229, 64, -6.299999999999994, 131
230, 64, -9.099999999999987, 133
231, 64, -6.299999999999994, 137
232, 20, -3.7000000000000006, 137
233, 64, -6.299999999999994, 133
234, 38, -5.499999999999999, 141
235, 64, -6.299999999999994, 134
236, 41, -11.499999999999995, 147
237, 64, -7.199999999999994, 137
238, 31, -7.699999999999996, 133
239, 64, -7.199999999999994, 134
240, 34, -8.899999999999999, 148
241, 64, -6.299999999999994, 142
242, 25, -4.199999999999999, 137
243, 54, -12.799999999999986, 144
244, 64, -6.299999999999994, 131
245, 64, -6.299999999999994, 137
246, 22, -5.699999999999999, 146
247, 64, -11.999999999999995, 136
248, 64, -7.199999999999992, 136
249, 31, -4.799999999999999, 136
250, 64, -6.299999999999994, 138
251, 64, -6.299999999999994, 139
252, 64, -6.299999999999994, 143
253, 64, -19.599999999999987, 142
254, 64, -6.299999999999994, 145
255, 64, -8.999999999999995, 136
256, 33, -6.9, 137
257, 33, -8.8, 150
258, 25, -6.999999999999997, 137
259, 43, -13.799999999999994, 146
260, 64, -6.299999999999994, 142
261, 34, -5.9999999999999964, 157
262, 47, -6.399999999999999, 142
263, 64, -6.299999999999994, 146
264, 29, -4.6, 147
265, 37, -6.299999999999996, 148
266, 64, -8.199999999999992, 135
267, 21, -3.8000000000000007, 151
268, 64, -6.299999999999994, 143
269, 64, -6.299999999999994, 141
270, 37, -5.3999999999999995, 149
271, 38, -10.399999999999995, 145
272, 36, -6.199999999999999, 149
273, 64, -9.199999999999994, 146
274, 38, -6.399999999999999, 193
275, 64, -6.299999999999994, 144
276, 64, -6.299999999999994, 142
277, 64, -7.1999999999999895, 148
278, 64, -29.100000000000037, 144
279, 30, -4.699999999999999, 151
280, 21, -7.6, 146
281, 18, -3.5000000000000004, 163
282, 64, -10.099999999999985, 144
283, 24, -4.1, 153
284, 18, -3.5000000000000004, 165
285, 21, -3.8000000000000007, 165
286, 29, -7.399999999999999, 165
287, 64, -6.299999999999994, 152
288, 19, -3.6000000000000005, 141
289, 60, -7.699999999999996, 154
290, 23, -4.000000000000001, 145
291, 34, -5.1, 155
292, 42, -7.799999999999998, 143
293, 64, -6.299999999999994, 151
294, 35, -9.899999999999997, 145
295, 37, -6.3, 141
296, 26, -7.199999999999996, 154
297, 64, -6.299999999999994, 154
298, 34, -5.9999999999999964, 146
299, 21, -4.699999999999999, 146
300, 20, -3.7000000000000006, 148
301, 64, -6.299999999999994, 153
302, 27, -5.3, 153
303, 64, -6.299999999999994, 143
304, 64, -10.09999999999999, 145
305, 35, -5.2, 147
306, 45, -6.1999999999999975, 150
307, 23, -4.0, 140
308, 64, -6.299999999999994, 150
309, 64, -6.299999999999994, 145
310, 64, -8.099999999999994, 149
