Starting reachability analysis
Finished reachability analysis; # states: 47
Passes: 76
Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -7.199999999999994, 83
2, 64, -6.299999999999994, 42
3, 64, -6.299999999999994, 32
4, 64, -6.299999999999994, 39
5, 64, -6.299999999999994, 43
6, 64, -6.299999999999994, 49
7, 64, -6.299999999999994, 60
8, 64, -6.299999999999994, 86
9, 64, -6.299999999999994, 61
10, 64, -6.299999999999994, 73
11, 64, -6.299999999999994, 95
12, 64, -6.299999999999994, 95
13, 64, -6.299999999999994, 94
14, 64, -6.299999999999994, 108
15, 64, -6.299999999999994, 88
16, 64, -6.299999999999994, 120
17, 64, -6.299999999999994, 114
18, 64, -6.299999999999994, 145
19, 64, -6.299999999999994, 100
20, 64, -6.299999999999994, 103
21, 64, -6.299999999999994, 109
22, 64, -6.299999999999994, 119
23, 64, -6.299999999999994, 131
24, 64, -6.299999999999994, 98
25, 64, -6.299999999999994, 96
26, 64, -6.299999999999994, 80
27, 64, -6.299999999999994, 84
28, 64, -6.299999999999994, 78
29, 64, -6.299999999999994, 80
30, 64, -6.299999999999994, 90
31, 64, -6.299999999999994, 112
32, 64, -6.299999999999994, 116
33, 64, -6.299999999999994, 136
34, 64, -6.299999999999994, 95
35, 64, -6.299999999999994, 99
36, 64, -6.299999999999994, 99
37, 64, -6.299999999999994, 107
38, 64, -6.299999999999994, 109
39, 64, -6.299999999999994, 121
40, 64, -6.299999999999994, 116
41, 64, -6.299999999999994, 112
42, 64, -6.299999999999994, 121
43, 64, -6.299999999999994, 134
44, 64, -6.299999999999994, 123
45, 64, -6.299999999999994, 121
46, 64, -6.299999999999994, 122
47, 64, -6.299999999999994, 130
48, 64, -6.299999999999994, 133
49, 64, -6.299999999999994, 131
50, 58, -7.4999999999999964, 133
51, 64, -6.299999999999994, 138
52, 40, -8.499999999999996, 140
53, 64, -6.299999999999994, 143
54, 64, -6.299999999999994, 142
55, 29, -6.599999999999998, 144
56, 39, -5.599999999999999, 147
57, 24, -6.899999999999997, 146
58, 20, -3.7000000000000006, 150
59, 21, -3.8000000000000007, 153
60, 20, -3.7000000000000006, 156
61, 25, -5.1, 157
62, 26, -5.199999999999998, 161
63, 18, -3.5000000000000004, 163
64, 25, -4.199999999999999, 166
65, 25, -4.2, 168
66, 21, -4.699999999999999, 172
67, 20, -5.6, 174
68, 29, -5.499999999999997, 178
69, 19, -3.6000000000000005, 176
70, 21, -3.8000000000000007, 181
71, 26, -6.1, 183
72, 25, -4.2, 186
73, 19, -3.6000000000000005, 186
74, 20, -3.7000000000000006, 189
75, 27, -7.099999999999997, 193
76, 27, -10.099999999999996, 195
77, 25, -5.1, 199
78, 29, -10.299999999999994, 198
79, 33, -7.699999999999995, 204
80, 27, -4.399999999999999, 197
81, 21, -3.8000000000000007, 197
82, 23, -4.899999999999999, 199
83, 26, -10.0, 197
84, 23, -5.899999999999998, 198
85, 26, -5.199999999999998, 198
86, 30, -4.699999999999999, 200
87, 23, -4.8999999999999995, 199
88, 20, -3.7000000000000006, 201
89, 22, -3.900000000000001, 198
90, 22, -3.900000000000001, 198
91, 28, -9.299999999999997, 216
92, 20, -4.6, 199
93, 27, -4.4, 200
94, 24, -5.9999999999999964, 198
95, 27, -6.199999999999997, 208
96, 24, -4.999999999999999, 237
97, 18, -3.5000000000000004, 200
98, 22, -4.799999999999999, 200
99, 24, -6.9, 200
100, 25, -6.099999999999997, 200

Average Reward: -5.901999999999998
Average Number of Steps: 45
Minimum Number of Steps: 18
Average Time (in milliseconds): 140
