Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -10.09999999999999, 92
2, 64, -6.299999999999994, 43
3, 64, -6.299999999999994, 34
4, 64, -6.299999999999994, 46
5, 64, -6.299999999999994, 37
6, 64, -6.299999999999994, 41
7, 64, -8.19999999999999, 61
8, 64, -6.299999999999994, 60
9, 64, -6.299999999999994, 75
10, 64, -6.299999999999994, 71
11, 64, -6.299999999999994, 72
12, 64, -6.299999999999994, 76
13, 64, -6.299999999999994, 86
14, 64, -6.299999999999994, 92
15, 64, -6.299999999999994, 101
16, 64, -6.299999999999994, 114
17, 64, -6.299999999999994, 90
18, 64, -6.299999999999994, 118
19, 64, -6.299999999999994, 106
20, 64, -6.299999999999994, 149
21, 64, -6.299999999999994, 132
22, 64, -6.299999999999994, 119
23, 64, -6.299999999999994, 145
24, 64, -6.299999999999994, 116
25, 64, -6.299999999999994, 109
26, 64, -6.299999999999994, 125
27, 64, -6.299999999999994, 98
28, 64, -6.299999999999994, 94
29, 64, -6.299999999999994, 83
30, 64, -6.299999999999994, 88
31, 64, -6.299999999999994, 105
32, 64, -6.299999999999994, 89
33, 64, -6.299999999999994, 92
34, 64, -6.299999999999994, 97
35, 64, -6.299999999999994, 108
36, 64, -6.299999999999994, 111
37, 64, -6.299999999999994, 101
38, 64, -6.299999999999994, 104
39, 64, -6.299999999999994, 107
40, 64, -6.299999999999994, 110
41, 64, -6.299999999999994, 112
42, 64, -6.299999999999994, 117
43, 64, -6.299999999999994, 117
44, 64, -6.299999999999994, 126
45, 64, -6.299999999999994, 123
46, 64, -6.299999999999994, 127
47, 64, -6.299999999999994, 128
48, 64, -6.299999999999994, 132
49, 64, -6.299999999999994, 133
50, 64, -6.299999999999994, 136

Average Reward: -6.413999999999994
Average Number of Steps: 64
Minimum Number of Steps: 64
Average Time (in milliseconds): 98
